Sex,Nationality,Country_of_residence,Work_regions,Periods,Werknemers_1,Sex_%,,,
Female,Dutch,Belgium,West-North Brabant ,2018,880,0.466,,,
Female,Dutch,Belgium,Central North Brabant,2010,590,0.488,,,
Female,Dutch,Belgium,Central North Brabant,2011,610,0.477,,,
Female,Dutch,Belgium,Central North Brabant,2012,640,0.485,,,
Female,Dutch,Belgium,Central North Brabant,2013,670,0.486,,,
Female,Dutch,Belgium,Central North Brabant,2014,690,0.479,,,
Female,Dutch,Belgium,Central North Brabant,2015,700,0.486,,,
Female,Dutch,Belgium,Central North Brabant,2016,710,0.493,,,
Female,Dutch,Belgium,Central North Brabant,2017,710,0.497,,,
Female,Dutch,Belgium,Central North Brabant,2018,670,0.486,,,
Female,Dutch,Belgium,North-East North Brabant ,2010,180,0.375,,,
Female,Dutch,Belgium,North-East North Brabant ,2011,190,0.373,,,
Female,Dutch,Belgium,North-East North Brabant ,2012,200,0.377,,,
Female,Dutch,Belgium,North-East North Brabant ,2013,210,0.382,,,
Female,Dutch,Belgium,North-East North Brabant ,2014,220,0.367,,,
Female,Dutch,Belgium,North-East North Brabant ,2015,230,0.377,,,
Female,Dutch,Belgium,North-East North Brabant ,2016,220,0.367,,,
Female,Dutch,Belgium,North-East North Brabant ,2017,230,0.39,,,
Female,Dutch,Belgium,North-East North Brabant ,2018,230,0.397,,,
Female,Dutch,Belgium,NL414,2010,1380,0.437,,,
Female,Dutch,Belgium,NL414,2011,1430,0.433,,,
Female,Dutch,Belgium,NL414,2012,1480,0.435,,,
Female,Dutch,Belgium,NL414,2013,1500,0.431,,,
Female,Dutch,Belgium,NL414,2014,1580,0.431,,,
Female,Dutch,Belgium,NL414,2015,1510,0.427,,,
Female,Dutch,Belgium,NL414,2016,1490,0.428,,,
Female,Dutch,Belgium,NL414,2017,1460,0.418,,,
Female,Dutch,Belgium,NL414,2018,1450,0.423,,,
Female,Dutch,Belgium,North Limburg ,2010,90,0.429,,,
Female,Dutch,Belgium,North Limburg ,2011,100,0.417,,,
Female,Dutch,Belgium,North Limburg ,2012,100,0.417,,,
Female,Dutch,Belgium,North Limburg ,2013,100,0.417,,,
Female,Dutch,Belgium,North Limburg ,2014,120,0.429,,,
Female,Dutch,Belgium,North Limburg ,2015,120,0.4,,,
Female,Dutch,Belgium,North Limburg ,2016,120,0.387,,,
Female,Dutch,Belgium,North Limburg ,2017,120,0.387,,,
Female,Dutch,Belgium,North Limburg ,2018,110,0.407,,,
Female,Dutch,Belgium,Central Limburg ,2010,400,0.471,,,
Female,Dutch,Belgium,Central Limburg ,2011,430,0.478,,,
Female,Dutch,Belgium,Central Limburg ,2012,430,0.478,,,
Female,Dutch,Belgium,Central Limburg ,2013,460,0.484,,,
Female,Dutch,Belgium,Central Limburg ,2014,470,0.47,,,
Female,Dutch,Belgium,Central Limburg ,2015,460,0.474,,,
Female,Dutch,Belgium,Central Limburg ,2016,440,0.458,,,
Female,Dutch,Belgium,Central Limburg ,2017,460,0.465,,,
Female,Dutch,Belgium,Central Limburg ,2018,460,0.474,,,
Female,Dutch,Belgium,South Limburg ,2010,1900,0.523,,,
Female,Dutch,Belgium,South Limburg ,2011,2020,0.526,,,
Female,Dutch,Belgium,South Limburg ,2012,2050,0.524,,,
Female,Dutch,Belgium,South Limburg ,2013,2100,0.52,,,
Female,Dutch,Belgium,South Limburg ,2014,2200,0.51,,,
Female,Dutch,Belgium,South Limburg ,2015,2130,0.507,,,
Female,Dutch,Belgium,South Limburg ,2016,2110,0.505,,,
Female,Dutch,Belgium,South Limburg ,2017,2150,0.502,,,
Female,Dutch,Belgium,South Limburg ,2018,2110,0.51,,,
Female,Dutch,Germany,IJmond,2010,0,0,,,
Female,Dutch,Germany,IJmond,2011,10,0.25,,,
Female,Dutch,Germany,IJmond,2012,10,0.25,,,
Female,Dutch,Germany,IJmond,2013,10,0.25,,,
Female,Dutch,Germany,IJmond,2014,10,0.2,,,
Female,Dutch,Germany,IJmond,2015,10,0.2,,,
Female,Dutch,Germany,IJmond,2016,10,0.25,,,
Female,Dutch,Germany,IJmond,2017,10,0.2,,,
Female,Dutch,Germany,IJmond,2018,10,0.25,,,
Female,Dutch,Germany,Haarlem agglomeration,2010,20,0.5,,,
Female,Dutch,Germany,Haarlem agglomeration,2011,20,0.5,,,
Female,Dutch,Germany,Haarlem agglomeration,2012,20,0.5,,,
Female,Dutch,Germany,Haarlem agglomeration,2013,20,0.4,,,
Female,Dutch,Germany,Haarlem agglomeration,2014,20,0.4,,,
Female,Dutch,Germany,Haarlem agglomeration,2015,20,0.5,,,
Female,Dutch,Germany,Haarlem agglomeration,2016,30,0.5,,,
Female,Dutch,Germany,Haarlem agglomeration,2017,20,0.4,,,
Female,Dutch,Germany,Haarlem agglomeration,2018,20,0.4,,,
Female,Dutch,Germany,Zaanstreek,2010,0,0,,,
Female,Dutch,Germany,Zaanstreek,2011,10,0.25,,,
Female,Dutch,Germany,Zaanstreek,2012,0,0,,,
Female,Dutch,Germany,Zaanstreek,2013,0,0,,,
Female,Dutch,Germany,Zaanstreek,2014,10,0.2,,,
Female,Dutch,Germany,Zaanstreek,2015,10,0.25,,,
Female,Dutch,Germany,Zaanstreek,2016,10,0.25,,,
Female,Dutch,Germany,Zaanstreek,2017,10,0.25,,,
Female,Dutch,Germany,Zaanstreek,2018,20,0.5,,,
Female,Dutch,Germany,Greater Amsterdam,2010,160,0.333,,,
Female,Dutch,Germany,Greater Amsterdam,2011,190,0.345,,,
Female,Dutch,Germany,Greater Amsterdam,2012,190,0.339,,,
Female,Dutch,Germany,Greater Amsterdam,2013,210,0.333,,,
Female,Dutch,Germany,Greater Amsterdam,2014,290,0.333,,,
Female,Dutch,Germany,Greater Amsterdam,2015,290,0.345,,,
Female,Dutch,Germany,Greater Amsterdam,2016,280,0.341,,,
Female,Dutch,Germany,Greater Amsterdam,2017,310,0.348,,,
Female,Dutch,Germany,Greater Amsterdam,2018,240,0.348,,,
Female,Dutch,Germany,The Gooi and Vechtstreek ,2010,10,0.2,,,
Female,Dutch,Germany,The Gooi and Vechtstreek ,2011,10,0.2,,,
Female,Dutch,Germany,The Gooi and Vechtstreek ,2012,10,0.2,,,
Female,Dutch,Germany,The Gooi and Vechtstreek ,2013,10,0.2,,,
Female,Dutch,Germany,The Gooi and Vechtstreek ,2014,20,0.286,,,
Female,Dutch,Germany,The Gooi and Vechtstreek ,2015,30,0.333,,,
Female,Dutch,Germany,The Gooi and Vechtstreek ,2016,20,0.25,,,
Female,Dutch,Germany,The Gooi and Vechtstreek ,2017,20,0.286,,,
Female,Dutch,Germany,The Gooi and Vechtstreek ,2018,20,0.286,,,
Female,Dutch,Germany,The Hague agglomeration,2010,90,0.31,,,
Female,Dutch,Germany,The Hague agglomeration,2011,100,0.313,,,
Female,Dutch,Germany,The Hague agglomeration,2012,100,0.303,,,
Female,Dutch,Germany,The Hague agglomeration,2013,100,0.294,,,
Female,Dutch,Germany,The Hague agglomeration,2014,130,0.31,,,
Female,Dutch,Germany,The Hague agglomeration,2015,150,0.341,,,
Female,Dutch,Germany,The Hague agglomeration,2016,130,0.317,,,
Female,Dutch,Germany,The Hague agglomeration,2017,120,0.316,,,
Female,Dutch,Germany,The Hague agglomeration,2018,120,0.353,,,
Female,Dutch,Germany,Delft and Westland,2010,10,0.25,,,
Female,Dutch,Germany,Delft and Westland,2011,10,0.25,,,
Female,Dutch,Germany,Delft and Westland,2012,20,0.333,,,
Female,Dutch,Germany,Delft and Westland,2013,20,0.333,,,
Female,Dutch,Germany,Delft and Westland,2014,20,0.286,,,
Female,Dutch,Germany,Delft and Westland,2015,20,0.286,,,
Female,Dutch,Germany,Delft and Westland,2016,10,0.167,,,
Female,Dutch,Germany,Delft and Westland,2017,10,0.167,,,
Female,Dutch,Germany,Delft and Westland,2018,10,0.167,,,
Female,Dutch,Germany,Leiden and Bollenstreek agglomeration,2010,10,0.167,,,
Female,Dutch,Germany,Leiden and Bollenstreek agglomeration,2011,10,0.143,,,
Female,Dutch,Germany,Leiden and Bollenstreek agglomeration,2012,10,0.167,,,
Female,Dutch,Germany,Leiden and Bollenstreek agglomeration,2013,20,0.286,,,
Female,Dutch,Germany,Leiden and Bollenstreek agglomeration,2014,20,0.25,,,
Female,Dutch,Germany,Leiden and Bollenstreek agglomeration,2015,20,0.222,,,
Female,Dutch,Germany,Leiden and Bollenstreek agglomeration,2016,20,0.25,,,
Female,Dutch,Germany,Leiden and Bollenstreek agglomeration,2017,20,0.25,,,
Female,Dutch,Germany,Leiden and Bollenstreek agglomeration,2018,20,0.286,,,
Female,Dutch,Germany,East-South Holland ,2010,20,0.333,,,
Female,Dutch,Germany,East-South Holland ,2011,20,0.286,,,
Female,Dutch,Germany,East-South Holland ,2012,20,0.286,,,
Female,Dutch,Germany,East-South Holland ,2013,20,0.286,,,
Female,Dutch,Germany,East-South Holland ,2014,20,0.25,,,
Female,Dutch,Germany,East-South Holland ,2015,30,0.375,,,
Female,Dutch,Germany,East-South Holland ,2016,20,0.25,,,
Female,Dutch,Germany,East-South Holland ,2017,20,0.286,,,
Female,Dutch,Germany,East-South Holland ,2018,20,0.4,,,
Female,Dutch,Germany,Greater Rhinemond ,2010,100,0.323,,,
Female,Dutch,Germany,Greater Rhinemond ,2011,100,0.294,,,
Female,Dutch,Germany,Greater Rhinemond ,2012,100,0.278,,,
Female,Dutch,Germany,Greater Rhinemond ,2013,120,0.3,,,
Female,Dutch,Germany,Greater Rhinemond ,2014,150,0.306,,,
Female,Dutch,Germany,Greater Rhinemond ,2015,140,0.311,,,
Female,Dutch,Germany,Greater Rhinemond ,2016,130,0.271,,,
Female,Dutch,Germany,Greater Rhinemond ,2017,120,0.3,,,
Female,Dutch,Germany,Greater Rhinemond ,2018,120,0.3,,,
Female,Dutch,Germany,South East Holland ,2010,20,0.222,,,
Female,Dutch,Germany,South East Holland ,2011,20,0.222,,,
Female,Dutch,Germany,South East Holland ,2012,20,0.222,,,
Female,Dutch,Germany,South East Holland ,2013,20,0.222,,,
Female,Dutch,Germany,South East Holland ,2014,30,0.25,,,
Female,Dutch,Germany,South East Holland ,2015,20,0.2,,,
Female,Dutch,Germany,South East Holland ,2016,20,0.182,,,
Female,Dutch,Germany,South East Holland ,2017,20,0.182,,,
Female,Dutch,Germany,South East Holland ,2018,20,0.182,,,
Female,Dutch,Germany,Zeeuwsch-Vlaanderen ,2010,0,0,,,
Female,Dutch,Germany,Zeeuwsch-Vlaanderen ,2011,0,0,,,
Female,Dutch,Germany,Zeeuwsch-Vlaanderen ,2012,0,0,,,
Female,Dutch,Germany,Zeeuwsch-Vlaanderen ,2013,0,0,,,
Female,Dutch,Germany,Zeeuwsch-Vlaanderen ,2014,10,0.333,,,
Female,Dutch,Germany,Zeeuwsch-Vlaanderen ,2015,0,0,,,
Female,Dutch,Germany,Zeeuwsch-Vlaanderen ,2016,10,0.333,,,
Female,Dutch,Germany,Zeeuwsch-Vlaanderen ,2017,0,0,,,
Female,Dutch,Germany,Other Zeeland ,2010,10,0.333,,,
Female,Dutch,Germany,Other Zeeland ,2011,10,0.333,,,
Female,Dutch,Germany,Other Zeeland ,2012,10,0.333,,,
Female,Dutch,Germany,Other Zeeland ,2013,10,0.333,,,
Female,Dutch,Germany,Other Zeeland ,2014,10,0.333,,,
Female,Dutch,Germany,Other Zeeland ,2015,10,0.25,,,
Female,Dutch,Germany,Other Zeeland ,2016,20,0.4,,,
Female,Dutch,Germany,Other Zeeland ,2017,10,0.25,,,
Female,Dutch,Germany,Other Zeeland ,2018,10,0.25,,,
Female,Dutch,Germany,West-North Brabant ,2010,40,0.222,,,
Female,Dutch,Germany,West-North Brabant ,2011,40,0.211,,,
Female,Dutch,Germany,West-North Brabant ,2012,40,0.2,,,
Female,Dutch,Germany,West-North Brabant ,2013,40,0.2,,,
Female,Dutch,Germany,West-North Brabant ,2014,60,0.222,,,
Female,Dutch,Germany,West-North Brabant ,2015,50,0.2,,,
Female,Dutch,Germany,West-North Brabant ,2016,60,0.24,,,
Female,Dutch,Germany,West-North Brabant ,2017,60,0.25,,,
Female,Dutch,Germany,West-North Brabant ,2018,50,0.238,,,
Female,Dutch,Germany,Central North Brabant,2010,30,0.3,,,
Female,Dutch,Germany,Central North Brabant,2011,30,0.3,,,
Female,Dutch,Germany,Central North Brabant,2012,30,0.273,,,
Female,Dutch,Germany,Central North Brabant,2013,40,0.308,,,
Female,Dutch,Germany,Central North Brabant,2014,60,0.353,,,
Female,Dutch,Germany,Central North Brabant,2015,60,0.375,,,
Female,Dutch,Germany,Central North Brabant,2016,60,0.353,,,
Female,Dutch,Germany,Central North Brabant,2017,60,0.4,,,
Female,Dutch,Germany,Central North Brabant,2018,60,0.375,,,
Female,Dutch,Germany,North-East North Brabant ,2010,140,0.326,,,
Female,Dutch,Germany,North-East North Brabant ,2011,140,0.318,,,
Female,Dutch,Germany,North-East North Brabant ,2012,150,0.326,,,
Female,Dutch,Germany,North-East North Brabant ,2013,150,0.319,,,
Female,Dutch,Germany,North-East North Brabant ,2014,160,0.308,,,
Female,Dutch,Germany,North-East North Brabant ,2015,160,0.32,,,
Female,Dutch,Germany,North-East North Brabant ,2016,150,0.3,,,
Female,Dutch,Germany,North-East North Brabant ,2017,160,0.32,,,
Female,Dutch,Germany,North-East North Brabant ,2018,130,0.302,,,
Female,Dutch,Germany,NL414,2010,100,0.286,,,
Female,Dutch,Germany,NL414,2011,110,0.289,,,
Female,Dutch,Germany,NL414,2012,120,0.293,,,
Female,Dutch,Germany,NL414,2013,130,0.302,,,
Female,Dutch,Germany,NL414,2014,170,0.304,,,
Female,Dutch,Germany,NL414,2015,160,0.302,,,
Female,Dutch,Germany,NL414,2016,160,0.291,,,
Female,Dutch,Germany,NL414,2017,140,0.28,,,
Female,Dutch,Germany,NL414,2018,140,0.304,,,
Female,Dutch,Germany,North Limburg ,2010,160,0.34,,,
Female,Dutch,Germany,North Limburg ,2011,170,0.34,,,
Female,Dutch,Germany,North Limburg ,2012,190,0.352,,,
Female,Dutch,Germany,North Limburg ,2013,200,0.345,,,
Female,Dutch,Germany,North Limburg ,2014,240,0.369,,,
Female,Dutch,Germany,North Limburg ,2015,230,0.348,,,
Female,Dutch,Germany,North Limburg ,2016,230,0.338,,,
Female,Dutch,Germany,North Limburg ,2017,210,0.313,,,
Female,Dutch,Germany,North Limburg ,2018,180,0.3,,,
Female,Dutch,Germany,Central Limburg ,2010,180,0.409,,,
Female,Dutch,Germany,Central Limburg ,2011,200,0.417,,,
Female,Dutch,Germany,Central Limburg ,2012,220,0.44,,,
Female,Dutch,Germany,Central Limburg ,2013,220,0.407,,,
Female,Dutch,Germany,Central Limburg ,2014,230,0.411,,,
Female,Dutch,Germany,Central Limburg ,2015,230,0.404,,,
Female,Dutch,Germany,Central Limburg ,2016,240,0.414,,,
Female,Dutch,Germany,Central Limburg ,2017,220,0.386,,,
Female,Dutch,Germany,Central Limburg ,2018,210,0.404,,,
Female,Dutch,Germany,South Limburg ,2010,530,0.442,,,
Female,Dutch,Germany,South Limburg ,2011,600,0.458,,,
Female,Dutch,Germany,South Limburg ,2012,610,0.449,,,
Female,Dutch,Germany,South Limburg ,2013,670,0.453,,,
Female,Dutch,Germany,South Limburg ,2014,720,0.45,,,
Female,Dutch,Germany,South Limburg ,2015,700,0.443,,,
Female,Dutch,Germany,South Limburg ,2016,720,0.447,,,
Female,Dutch,Germany,South Limburg ,2017,710,0.444,,,
Female,Dutch,Germany,South Limburg ,2018,650,0.428,,,
