StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,consent,sex,sex_3_TEXT,social support_1,social support_2,social support_3,social support_4,social support_5,social support_6,social support_7,social support_8,social support_9,social support_10,social support_11,social support_12,online SS_1,online SS_2,online SS_3,online SS_4,online SS_5,online SS_6,online SS_7,online SS_8,online SS_9,online SS_10,online SS_11,online SS_12,online SS_13,online SS_14,online SS_15,online SS_16,online SS_17,online SS_18,online SS_19,online SS_20,online SS_21,online SS_22,online SS_23,online SS_24,mental wellbeing_1,mental wellbeing_2,mental wellbeing_3,mental wellbeing_4,mental wellbeing_5,mental wellbeing_6,mental wellbeing_7,mental wellbeing_8,mental wellbeing_9,mental wellbeing_10,mental wellbeing_11,mental wellbeing_12,mental wellbeing_13,mental wellbeing_14,mental wellbeing_15,stress scale_1,stress scale_2,stress scale_3,stress scale_4,stress scale_5,stress scale_6,stress scale_7,stress scale_8,stress scale_9,stress scale_10,stress scale_11,stress scale_12,social desirability_1,social desirability_2,social desirability_3,social desirability_4,social desirability_5,social desirability_6
12/12/2020 3:31,12/12/2020 3:38,0,100,421,1,12/12/2020 3:38,anonymous,TR,1,1,,4,4,4,4,4,4,5,4,5,5,4,5,4,3,3,3,2,3,4,4,4,4,3,3,2,4,3,3,4,3,3,4,4,4,2,3,3,2,2,4,2,4,3,2,3,3,2,4,4,3,2,4,4,3,4,4,3,3,2,3,3,3,3,3,3,3,2,2,4
12/12/2020 6:10,12/12/2020 6:14,0,100,236,1,12/12/2020 6:14,anonymous,TR,1,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,3,4,4,4,4,4,3,4,4,5,2,3,5,5,3,5,5,5,5,4,5,3,4,4,5,5,5,3,1,3,3,5,3,4,2,4,5,3,3,3,4,2,3,2,3
12/12/2020 6:07,12/12/2020 6:14,0,100,456,1,12/12/2020 6:14,anonymous,TR,1,1,,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5,3,4,3,4,4,4,3,3,4,3,2,3,3,4,3,3,4,4,3,5,3,3,4,4,4,3,4,5,4,4,3,3,3,3,3,4,3,4,2,4,5,4,3,4,4,4,3,4,4
12/12/2020 7:01,12/12/2020 7:08,0,100,448,1,12/12/2020 7:08,anonymous,TR,1,1,,5,5,4,3,4,4,4,4,4,4,3,4,4,4,2,4,4,3,3,2,2,1,1,4,2,4,2,2,2,2,1,1,1,2,1,1,3,2,2,4,3,3,4,3,3,3,3,4,4,3,3,4,4,3,5,3,3,4,5,4,3,4,5,3,4,2,1,2,2
12/12/2020 8:07,12/12/2020 8:17,0,100,581,1,12/12/2020 8:17,anonymous,TR,1,1,,4,5,5,5,4,5,5,5,5,4,5,5,3,3,2,4,4,3,3,3,5,1,5,5,3,4,3,3,3,3,3,5,5,5,2,5,5,4,3,5,5,5,4,4,4,3,3,5,4,5,4,3,5,2,4,3,3,2,2,5,3,5,3,4,5,1,1,5,3
12/12/2020 9:07,12/12/2020 9:16,0,100,535,1,12/12/2020 9:16,anonymous,TR,1,1,,4,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,3,2,3,2,3,4,3,4,3,3,3,4,3,3,3,4,3,4,3,3,2,3,4,3,2,4,3,3,2,2,2,3
12/12/2020 10:01,12/12/2020 10:08,0,100,427,1,12/12/2020 10:08,anonymous,TR,1,1,,5,5,5,5,5,5,5,4,5,5,5,5,3,3,1,1,1,3,1,1,3,1,3,4,1,4,1,1,2,1,2,3,3,2,2,3,3,3,2,5,5,3,5,3,5,3,3,5,5,5,3,4,4,4,4,3,3,3,3,3,3,4,3,2,4,2,1,2,4
12/12/2020 10:10,12/12/2020 10:16,0,100,391,1,12/12/2020 10:16,anonymous,TR,1,1,,4,4,4,4,4,4,5,3,4,3,3,4,4,3,2,3,2,4,4,3,4,3,2,4,1,4,4,2,1,3,2,3,3,4,4,4,3,4,4,4,5,3,4,3,4,3,4,5,5,5,4,2,4,3,3,4,3,4,2,5,4,3,2,2,2,1,2,2,3
12/12/2020 10:47,12/12/2020 10:53,0,100,368,1,12/12/2020 10:53,anonymous,TR,1,1,,5,5,4,4,5,4,4,4,4,5,4,4,4,4,2,4,3,3,4,3,4,3,4,3,3,4,2,3,2,2,3,2,2,4,4,4,3,4,2,4,2,4,3,4,4,3,4,4,4,4,3,3,3,4,5,4,3,4,2,3,4,3,4,2,3,2,2,2,3
12/12/2020 12:30,12/12/2020 12:37,0,100,372,1,12/12/2020 12:37,anonymous,TR,1,1,,5,5,5,4,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,2,5,5,5,1,4,1,1,1,1,1,4,1,4,1,4,2,5,1,2,2,4,5,4,2,4,5,4,4,5,5,4,4,4,4,5,3,4,2,3,4,4,4,5,5,2,5,2,5
12/13/2020 2:45,12/13/2020 2:53,0,100,464,1,12/13/2020 2:53,anonymous,TR,1,1,,5,5,4,2,5,5,5,2,5,5,3,5,3,3,2,4,4,4,3,4,3,4,4,3,4,4,3,2,3,4,3,3,3,3,2,3,4,2,2,3,1,3,2,3,2,3,3,4,4,2,2,3,4,4,4,5,3,4,2,3,3,4,2,4,3,2,2,1,3
12/13/2020 5:45,12/13/2020 6:00,0,100,879,1,12/13/2020 6:00,anonymous,TR,1,1,,3,2,4,3,3,3,4,3,3,3,4,3,3,4,4,4,4,4,4,3,4,4,4,4,3,4,3,3,2,3,3,3,3,2,2,1,4,3,3,3,2,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,2,4,4,4,4,2,3,2,2,3,2
12/13/2020 6:00,12/13/2020 6:06,0,100,398,1,12/13/2020 6:06,anonymous,TR,1,2,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,1,1,4,4,4,2,3,3,3,3,3,3,3,2,2,4,4,2,3,3,4,4,4,3,3,4,4,4,3,3,3,3,3,3,4,3,4,2,4,5,4,3,4,3,4,4,4,5
12/13/2020 7:53,12/13/2020 7:58,0,100,295,1,12/13/2020 7:58,anonymous,TR,1,2,,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,3,3,4,3,4,2,4,4,3,3,3,3,1,1,1,3
12/13/2020 8:53,12/13/2020 8:59,0,100,372,1,12/13/2020 8:59,anonymous,TR,1,2,,5,4,5,4,5,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,2,5,4,5,3,5,1,5,5,5,3,2,4,3,2,2,2
12/13/2020 10:31,12/13/2020 10:49,0,100,1090,1,12/13/2020 10:49,anonymous,TR,1,2,,3,3,4,4,3,4,4,3,4,2,3,4,3,2,3,3,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,2,2,4,3,3,3,3,3,3,4,4,3,4,2,3,2,4,3,3,3,3,3,4,3,3,3,2,4,2,3,3,3
12/14/2020 10:10,12/14/2020 10:16,0,100,382,1,12/14/2020 10:16,anonymous,TR,1,1,,4,4,4,3,4,4,4,2,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,2,3,3,3,3,3,2,2,2,3,3,3,3,3,4,3,3,2,3,3,3,3,3,4,4,3,3,2,3,3,3,3,4,3,3,3,4,4,3
